year,CR,GPM,OPM,NPM,ROA,ROE,ROIC,ARG,CAT,TAT,TLE,TLTA,TLEBITDA,IC,DR,DY,PE,PB,UKCPI,UKINT,UKGDPG,OILM,FCFFR
2011.0,2.398,71.59,71.59,29.75,3.18,5.84,3.42,-25.64,0.109,0.109,0.716,0.417,4.646,8.206,18.37,1.06,15.165,0.847,4.475,0.5,1.15,37.93,-3.672
2021.0,2.419,22.82,22.82,15.0,0.29,5.82,1.44,-9.64,0.209,0.018,14.727,0.936,167.452,1.18,19.59,4.32,6.94,0.352,2.575,0.11,8.68,64.08,0.529
2005.0,1.781,27.89,9.3,6.74,6.94,11.07,9.78,8.85,2.303,0.926,0.566,0.361,3.096,18.035,37.5,2.06,17.337,1.695,2.042,4.65,2.74,45.31,0.279
2022.0,1.635,35.88,35.88,22.31,12.41,24.67,20.88,-12.51,2.876,0.564,0.835,0.455,1.832,10.949,64.31,10.13,9.194,2.156,9.05,1.47,4.35,39.61,0.905
2007.0,1.178,72.03,28.99,21.26,11.66,18.94,15.53,2.62,1.867,0.534,1.647,0.622,3.603,7.17,63.37,3.01,18.677,5.612,2.342,5.51,2.62,9.68,0.459
2016.0,0.703,93.44,19.14,13.23,8.39,31.12,14.81,9.31,2.258,0.591,1.522,0.603,3.401,12.461,73.39,1.76,27.72,7.844,0.675,0.4,1.92,-15.8,0.286
2021.0,0.67,92.9,20.21,15.44,8.09,12.49,13.91,-3.0,1.998,0.555,1.996,0.666,5.357,17.619,67.15,2.56,42.831,6.65,2.575,0.11,8.68,64.08,0.258
2004.0,0.986,3.08,3.08,1.53,0.3,9.16,5.37,66.22,4.018,0.188,37.912,0.974,167.989,0.056,64.92,3.0,20.814,2.326,1.35,4.39,2.43,33.32,0.065
2009.0,0.747,6.64,6.64,1.88,2.17,-55.88,7.06,5.02,4.205,1.265,-14.331,1.075,4.831,1.845,0.0,0.0,25.015,-13.977,2.183,0.64,-4.62,-36.39,0.364
2005.0,0.855,95.52,12.98,6.77,2.9,11.89,9.16,24.98,0.856,0.373,2.61,0.723,12.313,3.826,30.83,1.27,21.656,1.977,2.042,4.65,2.74,45.31,0.109
2009.0,1.282,45.68,16.08,10.11,8.82,39.32,18.3,14.79,2.423,0.839,2.681,0.728,3.57,7.877,49.06,4.71,8.028,3.246,2.183,0.64,-4.62,-36.39,0.266
2011.0,1.492,82.06,38.09,29.72,18.33,31.62,31.24,0.01,1.382,0.615,1.251,0.556,1.936,23.349,38.2,6.11,6.265,2.54,4.475,0.5,1.15,37.93,0.111
2014.0,2.204,15.83,15.83,-17.43,-0.27,5.69,-0.96,-15.18,0.21,0.015,16.902,0.944,273.665,1.619,0.0,1.57,15.691,0.763,1.458,0.5,3.2,-8.49,-1.229
2006.0,1.768,79.0,31.03,22.83,22.07,40.92,37.21,0.11,1.666,0.93,0.942,0.485,1.444,117.371,44.56,2.84,12.951,5.337,2.317,4.64,2.39,19.9,0.2
2006.0,0.799,6.64,1.43,0.4,0.53,1.62,2.33,5.65,4.177,1.26,2.215,0.689,12.564,1.477,210.53,2.32,88.399,1.427,2.317,4.64,2.39,19.9,0.034
2003.0,1.129,16.21,16.21,16.34,6.81,15.8,7.39,9.3,2.06,0.418,1.181,0.542,4.775,4.547,58.44,2.56,21.584,3.218,1.34,3.69,3.15,10.76,0.247
2015.0,0.638,37.98,37.98,15.77,2.49,15.92,5.02,1.86,2.693,0.152,3.643,0.785,8.674,3.17,94.72,3.92,17.186,2.613,0.042,0.5,2.22,-46.1,0.209
2007.0,1.0,36.25,36.25,215.0,21.4,27.21,17.75,-10.26,0.598,0.087,0.755,0.43,12.984,2.312,5.7,2.01,3.151,1.03,2.342,5.51,2.62,9.68,0.476
2010.0,0.246,2.76,2.76,-1.2,-0.03,-1.08,-0.06,-1.31,0.675,0.027,20.141,0.953,298.38,0.009,0.0,0.11,-93.039,0.955,3.308,0.5,2.24,28.19,-0.386
2016.0,1.281,37.31,5.01,3.95,4.25,12.67,6.22,-4.79,3.078,1.077,0.567,0.362,3.605,37.357,56.74,3.1,9.526,1.21,0.675,0.4,1.92,-15.8,0.183
2006.0,0.933,13.1,8.34,6.33,8.59,32.43,12.36,36.64,4.143,1.22,2.877,0.742,5.877,2.823,62.25,3.89,15.162,4.539,2.317,4.64,2.39,19.9,0.12
2019.0,0.843,26.29,2.48,2.48,-3.19,-0.59,-3.33,-7.44,1.369,0.288,0.986,0.497,5.35,1.022,-30.98,6.66,55.813,0.771,1.792,0.75,1.64,-10.28,0.19
2006.0,1.0,20.66,10.04,8.27,10.37,21.51,14.08,10.89,3.71,1.285,1.546,0.607,3.509,37.171,35.82,3.39,10.304,2.788,2.317,4.64,2.39,19.9,0.188
2006.0,1.242,34.75,34.75,9.97,1.94,13.53,5.93,-0.84,0.988,0.185,3.294,0.767,8.6,2.054,180.54,5.71,29.033,2.294,2.317,4.64,2.39,19.9,0.22
2003.0,0.799,3.18,3.18,0.07,0.04,0.2,-0.52,3.85,1.585,0.546,1.74,0.635,10.937,1.09,-1840.0,5.87,-343.23,0.918,1.34,3.69,3.15,10.76,0.287
2021.0,0.846,82.32,39.92,26.48,4.95,7.54,6.37,-0.36,2.005,0.187,1.038,0.509,5.804,7.14,73.68,7.82,8.429,0.931,2.575,0.11,8.68,64.08,0.582
2016.0,1.122,79.86,25.23,22.85,2.51,16.62,7.26,4.98,0.109,0.102,5.655,0.85,30.158,544.8,52.16,2.79,17.321,2.688,0.675,0.4,1.92,-15.8,0.03
2004.0,1.569,20.23,6.54,4.42,3.39,18.19,8.92,5.35,1.285,0.733,4.611,0.822,9.678,0.915,12.55,0.78,16.011,2.912,1.35,4.39,2.43,33.32,0.234
2017.0,0.599,65.74,14.25,5.08,2.65,43.91,14.19,8.24,1.898,0.535,15.16,0.938,5.611,6.163,258.07,5.96,20.729,18.793,2.683,0.29,2.66,21.27,0.192
